cell	method	tag	stage	metric	value	delta_vs_unsteered
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.003_ep16_all	loglik-fx-arcwiki	ARC_CHALLENGE/ACC_NORM	0.5410	-0.0093
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.01_ep8_all	loglik-fx-arcwiki	ARC_CHALLENGE/ACC_NORM	0.5358	-0.0145
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.01_ep8_completion	loglik-fx-arcwiki	ARC_CHALLENGE/ACC_NORM	0.5503	+0.0000
qw_ch	unsteered	cap_fxaw_qw_ch_uns	loglik-fx-arcwiki	ARC_CHALLENGE/ACC_NORM	0.5503	
qw_ch	iti	cap_fxaw_qw_ch_iti_qw_ch_k96	loglik-fx-arcwiki	WIKITEXT/BITS_PER_BYTE	0.6861	+0.0636
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.003_ep16_all	loglik-fx-arcwiki	WIKITEXT/BITS_PER_BYTE	0.7084	+0.0859
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.01_ep8_all	loglik-fx-arcwiki	WIKITEXT/BITS_PER_BYTE	0.6859	+0.0634
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.01_ep8_completion	loglik-fx-arcwiki	WIKITEXT/BITS_PER_BYTE	0.6733	+0.0508
qw_ch	unsteered	cap_fxaw_qw_ch_uns	loglik-fx-arcwiki	WIKITEXT/BITS_PER_BYTE	0.6225	
qw_ch	iti	cap_fxaw_qw_ch_iti_qw_ch_k96	loglik-fx-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.6089	+0.0694
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.003_ep16_all	loglik-fx-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.6340	+0.0945
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.01_ep8_all	loglik-fx-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.6087	+0.0692
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.01_ep8_completion	loglik-fx-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.5947	+0.0552
qw_ch	unsteered	cap_fxaw_qw_ch_uns	loglik-fx-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.5395	
qw_ch	iti	cap_fxaw_qw_ch_iti_qw_ch_k96	loglik-fx-arcwiki	WIKITEXT/WORD_PERPLEXITY	12.7191	+2.6719
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.003_ep16_all	loglik-fx-arcwiki	WIKITEXT/WORD_PERPLEXITY	13.8161	+3.7689
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.01_ep8_all	loglik-fx-arcwiki	WIKITEXT/WORD_PERPLEXITY	12.7099	+2.6627
qw_ch	sparse	cap_fxaw_qw_ch_sp_qw_ch_l0.01_ep8_completion	loglik-fx-arcwiki	WIKITEXT/WORD_PERPLEXITY	12.1300	+2.0828
qw_ch	unsteered	cap_fxaw_qw_ch_uns	loglik-fx-arcwiki	WIKITEXT/WORD_PERPLEXITY	10.0472	
qw_ch	iti	cap_fxmm_qw_ch_iti_qw_ch_k96	loglik-fx-mmlu	MMLU/ACC	0.7349	+0.0000
qw_ch	sparse	cap_fxmm_qw_ch_sp_qw_ch_l0.003_ep16_all	loglik-fx-mmlu	MMLU/ACC	0.7349	+0.0000
qw_ch	sparse	cap_fxmm_qw_ch_sp_qw_ch_l0.01_ep8_all	loglik-fx-mmlu	MMLU/ACC	0.7349	+0.0000
qw_ch	sparse	cap_fxmm_qw_ch_sp_qw_ch_l0.01_ep8_completion	loglik-fx-mmlu	MMLU/ACC	0.7349	+0.0000
qw_ch	unsteered	cap_fxmm_qw_ch_uns	loglik-fx-mmlu	MMLU/ACC	0.7349	
qw_qa	iti	cap_gen_qw_qa_iti_qw_qa_a8	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.8910	-0.0020
qw_qa	iti	cap_gen_qw_qa_iti_qw_qa_k128	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.8840	-0.0090
qw_qa	iti	cap_gen_qw_qa_iti_qw_qa_k96	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.8870	-0.0060
qw_qa	sparse	cap_gen_qw_qa_sp_qw_qa_l0.003_ep16_all	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.8610	-0.0320
qw_qa	sparse	cap_gen_qw_qa_sp_qw_qa_l0_ep16_all	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.8350	-0.0580
qw_qa	unsteered	cap_gen_qw_qa_uns	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.8930	
qw_qa	iti	cap_gen_qw_qa_iti_qw_qa_a8	generative	MMLU/CHOICE/ACCURACY	0.6750	-0.0090
qw_qa	iti	cap_gen_qw_qa_iti_qw_qa_k128	generative	MMLU/CHOICE/ACCURACY	0.6770	-0.0070
qw_qa	iti	cap_gen_qw_qa_iti_qw_qa_k96	generative	MMLU/CHOICE/ACCURACY	0.6810	-0.0030
qw_qa	sparse	cap_gen_qw_qa_sp_qw_qa_l0.003_ep16_all	generative	MMLU/CHOICE/ACCURACY	0.6670	-0.0170
